title,source,label
"'Devastating' New Jersey wildfire intentionally set, authorities say",ABC News,1
Biden 'just fine' after tripping 3 times jogging up steps to Air Force One,ABC News,0
Republican U.S. Rep. Tom Reed accused of sexual misconduct,ABC News,0
Mexico: 2.7M U.S. vaccine doses to arrive next week,ABC News,1
Report: DOJ investigating Visa over debit card business,ABC News,1
"5 White House staffers lose jobs over drugs, marijuana use",ABC News,1
Kremlin: Putin's offer of a call with Biden was to save ties,ABC News,1
Michigan restaurant owner defying virus orders is arrested,ABC News,1
New cross-country storm to bring more severe weather,ABC News,1
"Students need only 3-feet of space in the classroom with masks, CDC says",ABC News,1
Volcano erupts near Iceland's capital Reykjavik,BBC News,1
Viral video exposes inequality in NCAA college basketball,BBC News,1
Covid: France and Poland increase lockdown measures as infections surge,BBC News,1
Atlanta shooting: Biden condemns anti-Asian racism,BBC News,1
Ethiopia's Tigray crisis: A rare view inside the conflict zone,BBC News,1
Chinese granny who fought off attacker in US praised for bravery,BBC News,1
Biden ‘doing fine’ after aircraft stumble,BBC News,1
Covid: Rich states 'block' vaccine plans for developing nations,BBC News,1
US and China trade angry words at high-level Alaska talks,BBC News,1
Swan spotted rattling letterboxes on town street,BBC News,1
Michael Cohen on NYC Trump Probe: You Are Going to See 'Indictments Start Flying',Breitbart News,0
Poll: Majority NY Democrats Do Not Want Gov. Andrew Cuomo to Resign,Breitbart News,1
Hayward: China Savages Biden Team for U.S. ‘Human Rights Violations’ in Alaska Ambush,Breitbart News,0
Cotton on China Meeting: 'Chinese Delegation's Behavior Unacceptable',Breitbart News,0
"Weingarten: Updated CDC School Guidelines 'Being Driven by Space Concerns, Not By Safety Concerns'",Breitbart News,0
Ted Lieu: Trump Gave 'Permission to Attack' Asian-Americans,Breitbart News,0
Leftists Tout Interior Sec. Haaland: ‘Indigenous Womxn in Position of Power',Breitbart News,1
"VP Kamala Harris: 'Racism Is Real in America, and It Has Always Been'",Breitbart News,0
"In First, Current Aide Accuses Andrew Cuomo of Sexual Harassment",Breitbart News,1
Joe Biden to Meet with Stacey Abrams During Georgia Visit,Breitbart News,1
'Where is everyone?': Inside Trump's DC hotel post-presidency,CNN,0
Glory days of Trump's gold-plated 757 seem far away as plane sits idle at a sleepy airport,CNN,1
December Trump call to Georgia investigator found by officials in trash folder - CNN Video,CNN,1
'Practically genocide': Doctors say rape used as tool of war in Ethiopia,CNN,1
Iceland reports a volcanic eruption near the capital of Reykjavík,CNN,1
Opinion: Trump's major problem in Georgia election probe,CNN,1
Former daughter-in-law of Trump Org officer has talked to New York prosecutors about rent-free apartments,CNN,0
Here's what experts say is needed for US to return to normal. But these barriers stand in the way,CNN,1
This is Trump's heaping list of legal problems post-impeachment,CNN,1
Mar-a-Lago partially closed due to Covid outbreak,CNN,1
"Biden stumbles multiple times, falls as he scales Air Force One stairs",Fox News,0
Bill Maher on Atlanta-area massage parlor shootings: 'What if' it isn't a hate crime?,Fox News,0
WH axes staffers over past pot use even though Kamala Harris has admitted she smoked it,Fox News,1
"Maria Bartiromo: China is using 'progressive, woke' words against us",Fox News,1
Texas Gov. Abbott: Border crisis is now 'a humanitarian disaster',Fox News,0
"Monopoly getting 'long overdue' socially conscious makeover, Hasbro says",Fox News,1
Tucker: Beijing using Black Lives Matter as a weapon against us,Fox News,1
Federal judge warns 'dangerous' media has 'very close to one-party control' in blistering libel case dissent,Fox News,1
John Solomon: Top Democrat fundraiser has ties to US intelligence,Fox News,1
Sarm Heslop was last seen on this 47-foot catamaran nearly two weeks ago,Fox News,1
Mexico's foreign ministry says it will monitor U.S. DACA program developments,Reuters,1
"Pelosi says Trump 'ethically unfit' for presidency, will continue oversight",Reuters,1
Facebook takes down Trump ads over 'organized hate' policy,Reuters,0
Atlanta officer says he is not 'state's witness' in Rayshard Brooks case,Reuters,1
U.S. Supreme Court blocks Trump bid to end 'Dreamers' immigrant program,Reuters,0
"World stock markets slip on second wave virus fears, safe-havens rise",Reuters,1
"Trump unfit to be U.S. president, Democrat Pelosi, conservative Bolton agree",Reuters,0
"S&P 500 closes nominally higher amid COVID-19 spikes, muted data",Reuters,1
Tesla wants to start building a new U.S. vehicle plant this summer,Reuters,0
Trump pledges new list of conservative Supreme Court contenders,Reuters,0
Biden delivers remarks after meeting with Asian American leaders,The Washington Post,1
